시설명,장비명,설치위치,측정상태,방식전위,방식전류,AC유입,배터리,온도,습도,통신상태,최근 갱신일시
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,000.0mV",2mA,319.7mV,"3,582.0mV",8.1℃,5.5%,정상,2026-03-25 14:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,002.3mV",2mA,319.2mV,"3,581.9mV",8.2℃,5.5%,정상,2026-03-25 14:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,003.9mV",2mA,320.2mV,"3,581.9mV",8.1℃,5.5%,정상,2026-03-25 14:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,006.7mV",2mA,319.5mV,"3,581.8mV",8.2℃,5.5%,정상,2026-03-25 14:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,009.2mV",2mA,319.0mV,"3,581.8mV",8.1℃,5.5%,정상,2026-03-25 14:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,011.3mV",2mA,320.7mV,"3,581.8mV",8.1℃,5.6%,정상,2026-03-25 14:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,013.1mV",2mA,319.1mV,"3,581.7mV",8.2℃,5.4%,정상,2026-03-25 15:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,015.4mV",2mA,319.6mV,"3,581.7mV",8.3℃,5.5%,정상,2026-03-25 15:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,016.9mV",2mA,319.6mV,"3,581.6mV",8.3℃,5.5%,정상,2026-03-25 15:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,018.9mV",2mA,320.1mV,"3,581.6mV",8.5℃,5.4%,정상,2026-03-25 15:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,020.9mV",2mA,320.0mV,"3,581.5mV",8.6℃,5.5%,정상,2026-03-25 15:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,022.9mV",2mA,320.8mV,"3,581.4mV",8.8℃,5.6%,정상,2026-03-25 15:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,024.5mV",2mA,319.8mV,"3,581.4mV",8.8℃,5.6%,정상,2026-03-25 16:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,027.3mV",2mA,320.3mV,"3,581.3mV",9.0℃,5.6%,정상,2026-03-25 16:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,028.2mV",2mA,320.0mV,"3,581.3mV",9.0℃,5.4%,정상,2026-03-25 16:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.0mV",2mA,319.2mV,"3,581.2mV",9.1℃,5.6%,정상,2026-03-25 16:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,032.3mV",2mA,319.5mV,"3,581.2mV",9.3℃,5.5%,정상,2026-03-25 16:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,033.7mV",2mA,319.5mV,"3,581.2mV",9.5℃,5.4%,정상,2026-03-25 16:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.5mV",2mA,319.1mV,"3,581.1mV",9.5℃,5.5%,정상,2026-03-25 17:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,036.8mV",2mA,319.7mV,"3,581.1mV",9.6℃,5.6%,정상,2026-03-25 17:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.5mV",2mA,319.0mV,"3,581.0mV",9.8℃,5.4%,정상,2026-03-25 17:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,039.5mV",2mA,319.0mV,"3,580.9mV",10.2℃,5.6%,정상,2026-03-25 17:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.8mV",2mA,319.7mV,"3,580.9mV",10.1℃,5.5%,정상,2026-03-25 17:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.4mV",2mA,319.5mV,"3,580.8mV",10.4℃,5.4%,정상,2026-03-25 17:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,043.8mV",2mA,320.1mV,"3,580.8mV",10.5℃,5.5%,정상,2026-03-25 18:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.4mV",2mA,320.1mV,"3,580.8mV",10.7℃,5.5%,정상,2026-03-25 18:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.4mV",2mA,319.8mV,"3,580.7mV",10.9℃,5.5%,정상,2026-03-25 18:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.8mV",2mA,319.9mV,"3,580.7mV",11.2℃,5.5%,정상,2026-03-25 18:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.4mV",2mA,320.5mV,"3,580.6mV",11.4℃,5.5%,정상,2026-03-25 18:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.1mV",2mA,319.0mV,"3,580.6mV",11.6℃,5.4%,정상,2026-03-25 18:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.2mV",2mA,319.8mV,"3,580.5mV",11.9℃,5.6%,정상,2026-03-25 19:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.2mV",2mA,320.9mV,"3,580.4mV",12.1℃,5.5%,정상,2026-03-25 19:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.3mV",2mA,320.9mV,"3,580.4mV",12.3℃,5.5%,정상,2026-03-25 19:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.4mV",2mA,320.3mV,"3,580.3mV",12.4℃,5.5%,정상,2026-03-25 19:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.7mV",2mA,320.8mV,"3,580.3mV",12.6℃,5.5%,정상,2026-03-25 19:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.1mV",2mA,319.7mV,"3,580.2mV",12.8℃,5.4%,정상,2026-03-25 19:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.5mV",2mA,320.7mV,"3,580.2mV",13.2℃,5.6%,정상,2026-03-25 20:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.0mV",2mA,320.0mV,"3,580.2mV",13.3℃,5.6%,정상,2026-03-25 20:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.2mV",2mA,319.9mV,"3,580.1mV",13.5℃,5.5%,정상,2026-03-25 20:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.7mV",2mA,320.3mV,"3,580.1mV",13.7℃,5.5%,정상,2026-03-25 20:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.5mV",2mA,321.0mV,"3,580.0mV",14.0℃,5.6%,정상,2026-03-25 20:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.8mV",2mA,319.4mV,"3,579.9mV",14.1℃,5.5%,정상,2026-03-25 20:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.5mV",2mA,320.4mV,"3,579.9mV",14.4℃,5.4%,정상,2026-03-25 21:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.9mV",2mA,319.9mV,"3,579.8mV",14.5℃,5.5%,정상,2026-03-25 21:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,046.8mV",2mA,319.3mV,"3,579.8mV",14.7℃,5.5%,정상,2026-03-25 21:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.8mV",2mA,319.6mV,"3,579.8mV",15.0℃,5.6%,정상,2026-03-25 21:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.4mV",2mA,320.1mV,"3,579.7mV",15.3℃,5.6%,정상,2026-03-25 21:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.6mV",2mA,319.1mV,"3,579.7mV",15.4℃,5.4%,정상,2026-03-25 21:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.9mV",2mA,320.3mV,"3,579.6mV",15.6℃,5.5%,정상,2026-03-25 22:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.4mV",2mA,319.5mV,"3,579.6mV",15.9℃,5.5%,정상,2026-03-25 22:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.8mV",2mA,319.8mV,"3,579.5mV",15.9℃,5.5%,정상,2026-03-25 22:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,039.4mV",2mA,320.2mV,"3,579.4mV",16.2℃,5.6%,정상,2026-03-25 22:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.4mV",2mA,320.4mV,"3,579.4mV",16.3℃,5.4%,정상,2026-03-25 22:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,037.0mV",2mA,319.9mV,"3,579.3mV",16.4℃,5.5%,정상,2026-03-25 22:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.2mV",2mA,319.5mV,"3,579.3mV",16.6℃,5.6%,정상,2026-03-25 23:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,034.2mV",2mA,319.3mV,"3,579.2mV",16.8℃,5.6%,정상,2026-03-25 23:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,031.9mV",2mA,319.1mV,"3,579.2mV",16.8℃,5.6%,정상,2026-03-25 23:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.8mV",2mA,319.3mV,"3,579.2mV",17.0℃,5.5%,정상,2026-03-25 23:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,029.0mV",2mA,320.4mV,"3,579.1mV",17.2℃,5.5%,정상,2026-03-25 23:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,027.0mV",2mA,319.7mV,"3,579.1mV",17.2℃,5.5%,정상,2026-03-25 23:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,025.5mV",2mA,319.1mV,"3,579.0mV",17.4℃,5.6%,정상,2026-03-26 00:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,022.6mV",2mA,320.4mV,"3,578.9mV",17.6℃,5.5%,정상,2026-03-26 00:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,020.7mV",2mA,320.7mV,"3,578.9mV",17.6℃,5.6%,정상,2026-03-26 00:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,018.7mV",2mA,319.6mV,"3,578.8mV",17.7℃,5.6%,정상,2026-03-26 00:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,017.2mV",2mA,320.6mV,"3,578.8mV",17.8℃,5.6%,정상,2026-03-26 00:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,015.1mV",2mA,320.0mV,"3,578.8mV",17.8℃,5.6%,정상,2026-03-26 00:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,013.3mV",2mA,320.0mV,"3,578.7mV",18.0℃,5.6%,정상,2026-03-26 01:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,010.7mV",2mA,319.6mV,"3,578.7mV",17.9℃,5.5%,정상,2026-03-26 01:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,009.1mV",2mA,320.9mV,"3,578.6mV",18.1℃,5.4%,정상,2026-03-26 01:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,006.7mV",2mA,320.1mV,"3,578.6mV",18.1℃,5.4%,정상,2026-03-26 01:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,004.8mV",2mA,319.8mV,"3,578.5mV",18.1℃,5.6%,정상,2026-03-26 01:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,002.0mV",2mA,320.2mV,"3,578.4mV",18.2℃,5.4%,정상,2026-03-26 01:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,000.5mV",2mA,319.9mV,"3,578.4mV",18.1℃,5.5%,정상,2026-03-26 02:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-998.0mV,2mA,319.0mV,"3,578.3mV",18.2℃,5.4%,정상,2026-03-26 02:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.5mV,2mA,320.6mV,"3,578.3mV",18.0℃,5.5%,정상,2026-03-26 02:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.5mV,2mA,319.4mV,"3,578.2mV",18.0℃,5.6%,정상,2026-03-26 02:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-990.9mV,2mA,320.1mV,"3,578.2mV",18.1℃,5.6%,정상,2026-03-26 02:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-989.2mV,2mA,320.1mV,"3,578.2mV",17.9℃,5.5%,정상,2026-03-26 02:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-987.1mV,2mA,319.6mV,"3,578.1mV",17.8℃,5.5%,정상,2026-03-26 03:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-984.7mV,2mA,319.5mV,"3,578.1mV",17.9℃,5.5%,정상,2026-03-26 03:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-983.3mV,2mA,320.7mV,"3,578.0mV",17.8℃,5.6%,정상,2026-03-26 03:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-981.2mV,2mA,319.8mV,"3,577.9mV",17.7℃,5.4%,정상,2026-03-26 03:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-979.0mV,2mA,320.5mV,"3,577.9mV",17.7℃,5.6%,정상,2026-03-26 03:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-976.7mV,2mA,319.1mV,"3,577.8mV",17.5℃,5.6%,정상,2026-03-26 03:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-974.8mV,2mA,319.8mV,"3,577.8mV",17.4℃,5.4%,정상,2026-03-26 04:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-973.0mV,2mA,319.6mV,"3,577.8mV",17.2℃,5.6%,정상,2026-03-26 04:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-971.7mV,2mA,320.4mV,"3,577.7mV",17.1℃,5.5%,정상,2026-03-26 04:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.9mV,2mA,320.5mV,"3,577.7mV",17.0℃,5.5%,정상,2026-03-26 04:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-967.7mV,2mA,319.9mV,"3,577.6mV",17.0℃,5.6%,정상,2026-03-26 04:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.2mV,2mA,319.4mV,"3,577.6mV",16.8℃,5.5%,정상,2026-03-26 04:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-964.5mV,2mA,320.6mV,"3,577.5mV",16.5℃,5.5%,정상,2026-03-26 05:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.5mV,2mA,320.8mV,"3,577.4mV",16.5℃,5.4%,정상,2026-03-26 05:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-961.7mV,2mA,320.1mV,"3,577.4mV",16.4℃,5.5%,정상,2026-03-26 05:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.4mV,2mA,319.2mV,"3,577.3mV",16.1℃,5.5%,정상,2026-03-26 05:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-958.6mV,2mA,319.6mV,"3,577.3mV",15.9℃,5.5%,정상,2026-03-26 05:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-957.9mV,2mA,319.6mV,"3,577.2mV",15.7℃,5.6%,정상,2026-03-26 05:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.3mV,2mA,319.8mV,"3,577.2mV",15.6℃,5.6%,정상,2026-03-26 06:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.2mV,2mA,319.5mV,"3,577.2mV",15.5℃,5.5%,정상,2026-03-26 06:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.7mV,2mA,319.8mV,"3,577.1mV",15.2℃,5.5%,정상,2026-03-26 06:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.1mV,2mA,320.0mV,"3,577.1mV",15.1℃,5.5%,정상,2026-03-26 06:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.4mV,2mA,320.0mV,"3,577.0mV",14.8℃,5.4%,정상,2026-03-26 06:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.1mV,2mA,319.4mV,"3,576.9mV",14.6℃,5.5%,정상,2026-03-26 06:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.6mV,2mA,320.4mV,"3,576.9mV",14.5℃,5.6%,정상,2026-03-26 07:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.3mV,2mA,319.9mV,"3,576.8mV",14.1℃,5.5%,정상,2026-03-26 07:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.4mV,2mA,320.8mV,"3,576.8mV",14.0℃,5.4%,정상,2026-03-26 07:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.8mV,2mA,320.7mV,"3,576.8mV",13.8℃,5.5%,정상,2026-03-26 07:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-949.9mV,2mA,320.2mV,"3,576.7mV",13.5℃,5.4%,정상,2026-03-26 07:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.5mV,2mA,319.8mV,"3,576.7mV",13.3℃,5.4%,정상,2026-03-26 07:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-949.5mV,2mA,320.4mV,"3,576.6mV",13.1℃,5.5%,정상,2026-03-26 08:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.1mV,2mA,319.3mV,"3,576.6mV",13.0℃,5.6%,정상,2026-03-26 08:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.1mV,2mA,320.8mV,"3,576.5mV",12.6℃,5.4%,정상,2026-03-26 08:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.3mV,2mA,319.6mV,"3,576.4mV",12.4℃,5.5%,정상,2026-03-26 08:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.6mV,2mA,319.4mV,"3,576.4mV",12.3℃,5.5%,정상,2026-03-26 08:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.9mV,2mA,320.6mV,"3,576.3mV",12.1℃,5.4%,정상,2026-03-26 08:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.9mV,2mA,319.5mV,"3,576.3mV",11.7℃,5.6%,정상,2026-03-26 09:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.3mV,2mA,320.9mV,"3,576.2mV",11.6℃,5.5%,정상,2026-03-26 09:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.6mV,2mA,320.4mV,"3,576.2mV",11.3℃,5.5%,정상,2026-03-26 09:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.7mV,2mA,320.3mV,"3,576.2mV",11.1℃,5.6%,정상,2026-03-26 09:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.5mV,2mA,319.6mV,"3,576.1mV",10.9℃,5.5%,정상,2026-03-26 09:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.6mV,2mA,319.5mV,"3,576.1mV",10.8℃,5.4%,정상,2026-03-26 09:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.5mV,2mA,320.1mV,"3,576.0mV",10.6℃,5.5%,정상,2026-03-26 10:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-958.3mV,2mA,319.4mV,"3,575.9mV",10.4℃,5.6%,정상,2026-03-26 10:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.5mV,2mA,319.8mV,"3,575.9mV",10.3℃,5.6%,정상,2026-03-26 10:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.7mV,2mA,319.7mV,"3,575.8mV",10.0℃,5.4%,정상,2026-03-26 10:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-961.8mV,2mA,320.0mV,"3,575.8mV",9.8℃,5.6%,정상,2026-03-26 10:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.1mV,2mA,320.4mV,"3,575.8mV",9.7℃,5.5%,정상,2026-03-26 10:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-964.5mV,2mA,320.9mV,"3,575.7mV",9.6℃,5.5%,정상,2026-03-26 11:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.1mV,2mA,320.3mV,"3,575.7mV",9.4℃,5.5%,정상,2026-03-26 11:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-968.1mV,2mA,320.7mV,"3,575.6mV",9.2℃,5.4%,정상,2026-03-26 11:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.3mV,2mA,319.8mV,"3,575.6mV",9.2℃,5.6%,정상,2026-03-26 11:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-971.5mV,2mA,319.4mV,"3,575.5mV",8.9℃,5.4%,정상,2026-03-26 11:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-973.1mV,2mA,320.5mV,"3,575.4mV",8.9℃,5.5%,정상,2026-03-26 11:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-974.8mV,2mA,319.4mV,"3,575.4mV",8.8℃,5.6%,정상,2026-03-26 12:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-977.2mV,2mA,320.7mV,"3,575.3mV",8.6℃,5.6%,정상,2026-03-26 12:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-978.5mV,2mA,320.6mV,"3,575.3mV",8.6℃,5.5%,정상,2026-03-26 12:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-980.9mV,2mA,319.0mV,"3,575.2mV",8.4℃,5.6%,정상,2026-03-26 12:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-982.7mV,2mA,320.0mV,"3,575.2mV",8.3℃,5.5%,정상,2026-03-26 12:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-984.7mV,2mA,319.7mV,"3,575.2mV",8.4℃,5.4%,정상,2026-03-26 12:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-987.1mV,2mA,319.9mV,"3,575.1mV",8.2℃,5.5%,정상,2026-03-26 13:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-989.6mV,2mA,320.9mV,"3,575.1mV",8.3℃,5.5%,정상,2026-03-26 13:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-991.1mV,2mA,319.5mV,"3,575.0mV",8.2℃,5.5%,정상,2026-03-26 13:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.8mV,2mA,319.1mV,"3,574.9mV",8.1℃,5.5%,정상,2026-03-26 13:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.7mV,2mA,320.2mV,"3,574.9mV",8.1℃,5.4%,정상,2026-03-26 13:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-998.0mV,2mA,319.2mV,"3,574.8mV",8.0℃,5.4%,정상,2026-03-26 13:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,000.4mV",2mA,320.7mV,"3,574.8mV",8.0℃,5.5%,정상,2026-03-26 14:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,001.9mV",2mA,319.2mV,"3,574.8mV",8.1℃,5.4%,정상,2026-03-26 14:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,003.9mV",2mA,320.7mV,"3,574.7mV",8.1℃,5.5%,정상,2026-03-26 14:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,007.0mV",2mA,319.5mV,"3,574.7mV",8.1℃,5.5%,정상,2026-03-26 14:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,008.7mV",2mA,320.9mV,"3,574.6mV",8.2℃,5.4%,정상,2026-03-26 14:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,011.0mV",2mA,320.3mV,"3,574.6mV",8.2℃,5.4%,정상,2026-03-26 14:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,012.7mV",2mA,320.5mV,"3,574.5mV",8.3℃,5.5%,정상,2026-03-26 15:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,014.9mV",2mA,319.2mV,"3,574.4mV",8.4℃,5.5%,정상,2026-03-26 15:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,017.5mV",2mA,320.0mV,"3,574.4mV",8.4℃,5.5%,정상,2026-03-26 15:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,019.6mV",2mA,319.5mV,"3,574.3mV",8.4℃,5.5%,정상,2026-03-26 15:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,021.1mV",2mA,319.9mV,"3,574.3mV",8.5℃,5.5%,정상,2026-03-26 15:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,022.7mV",2mA,320.4mV,"3,574.2mV",8.6℃,5.4%,정상,2026-03-26 15:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,025.1mV",2mA,320.8mV,"3,574.2mV",8.7℃,5.5%,정상,2026-03-26 16:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,027.2mV",2mA,319.6mV,"3,574.2mV",8.8℃,5.5%,정상,2026-03-26 16:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,028.8mV",2mA,320.1mV,"3,574.1mV",9.1℃,5.5%,정상,2026-03-26 16:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.6mV",2mA,320.1mV,"3,574.1mV",9.0℃,5.4%,정상,2026-03-26 16:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,032.6mV",2mA,320.5mV,"3,574.0mV",9.3℃,5.6%,정상,2026-03-26 16:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,033.6mV",2mA,319.0mV,"3,573.9mV",9.4℃,5.5%,정상,2026-03-26 16:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.6mV",2mA,320.4mV,"3,573.9mV",9.5℃,5.4%,정상,2026-03-26 17:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,037.0mV",2mA,319.0mV,"3,573.8mV",9.8℃,5.4%,정상,2026-03-26 17:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.6mV",2mA,319.9mV,"3,573.8mV",10.0℃,5.5%,정상,2026-03-26 17:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,039.4mV",2mA,319.1mV,"3,573.8mV",10.1℃,5.5%,정상,2026-03-26 17:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.5mV",2mA,319.6mV,"3,573.7mV",10.3℃,5.5%,정상,2026-03-26 17:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.6mV",2mA,319.2mV,"3,573.7mV",10.4℃,5.5%,정상,2026-03-26 17:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,043.2mV",2mA,320.3mV,"3,573.6mV",10.7℃,5.6%,정상,2026-03-26 18:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.2mV",2mA,320.2mV,"3,573.6mV",10.8℃,5.6%,정상,2026-03-26 18:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.4mV",2mA,319.8mV,"3,573.5mV",11.0℃,5.5%,정상,2026-03-26 18:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.7mV",2mA,319.3mV,"3,573.4mV",11.1℃,5.4%,정상,2026-03-26 18:30:00
